,age,workclass, fnlwgt ,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hour-per-week,native-country,income
14450,25, Private," 1,484,705 ", Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,0,0,25, United-States, <=50K
18139,39, Private," 1,455,435 ", Assoc-acdm,12, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
16740,45, Private," 1,366,120 ", Assoc-voc,11, Divorced, Other-service, Not-in-family, White, Female,0,0,8, United-States, <=50K
15570,29, Private," 1,268,339 ", HS-grad,9, Married-spouse-absent, Tech-support, Own-child, Black, Male,0,0,40, United-States, <=50K
8259,35, Private," 1,226,583 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
5370,30, Private," 1,184,622 ", Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,35, United-States, <=50K
25076,33, Private," 1,161,363 ", Some-college,10, Separated, Tech-support, Unmarried, White, Female,0,0,50, Columbia, <=50K
29165,42, Local-gov," 1,125,613 ", HS-grad,9, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27366,42, Self-emp-inc," 1,097,453 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
27683,24, Private," 1,085,515 ", HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
9749,23, Private," 1,038,553 ", HS-grad,9, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,45, United-States, <=50K
415,31, State-gov," 1,033,222 ", Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
23524,31, Private," 1,033,222 ", Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,8614,0,40, United-States, >50K
31793,32, ?," 981,628 ", HS-grad,9, Divorced, ?, Unmarried, Black, Male,0,0,40, United-States, <=50K
7935,43, Private," 972,354 ", Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,48, United-States, <=50K
20489,35, Private," 953,588 ", HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
15045,36, Federal-gov," 930,948 ", Some-college,10, Separated, Adm-clerical, Unmarried, Black, Female,6497,0,56, United-States, <=50K
8486,26, Private," 917,220 ", 12th,8, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, United-States, <=50K
5424,33, State-gov," 913,447 ", Some-college,10, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
1598,37, Private," 910,398 ", Bachelors,13, Never-married, Sales, Not-in-family, Black, Female,0,0,40, United-States, <=50K
18875,44, Private," 889,965 ", HS-grad,9, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,3137,0,30, United-States, <=50K
313,19, ?," 860,348 ", Some-college,10, Never-married, ?, Own-child, Black, Female,0,0,25, United-States, <=50K
14415,32, Private," 857,532 ", HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, United-States, <=50K
30761,33, Private," 857,532 ", 12th,8, Never-married, Protective-serv, Own-child, Black, Male,0,0,40, United-States, <=50K
12264,34, Private," 849,857 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
24091,54, Private," 816,750 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2051,40, United-States, <=50K
25852,38, Private," 809,585 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
17744,41, Private," 806,552 ", Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
23374,17, ?," 806,316 ", 11th,7, Never-married, ?, Own-child, White, Female,0,0,20, United-States, <=50K
30117,40, Private," 799,281 ", HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
1292,63, Self-emp-not-inc," 795,830 ", 1st-4th,2, Widowed, Other-service, Unmarried, White, Female,0,0,30, El-Salvador, <=50K
8434,28, Private," 791,084 ", Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
1013,50, Private," 767,403 ", HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,40, United-States, >50K
31276,21, Private," 766,115 ", 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,35, United-States, <=50K
28425,18, Private," 761,006 ", 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
2370,37, Private," 758,700 ", 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3781,0,50, Mexico, <=50K
14774,44, Private," 755,858 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
18240,55, Private," 750,972 ", 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,41, United-States, <=50K
31676,36, Private," 749,636 ", Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
5623,36, Private," 749,105 ", HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,36, United-States, <=50K
30832,36, State-gov," 747,719 ", Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,50, United-States, >50K
3965,39, Private," 746,786 ", Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, >50K
31812,26, Private," 746,432 ", HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,48, United-States, <=50K
24564,20, Private," 745,817 ", Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,15, United-States, <=50K
9249,38, Local-gov," 745,768 ", Some-college,10, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,45, United-States, <=50K
30719,36, Private," 745,768 ", Some-college,10, Never-married, Protective-serv, Unmarried, Black, Female,0,0,40, United-States, <=50K
23664,45, Private," 738,812 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, <=50K
13110,34, Private," 737,315 ", Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
13095,34, Private," 734,193 ", Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
9757,36, Private," 732,569 ", 9th,5, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
21387,32, Private," 732,102 ", Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
27168,17, Private," 721,712 ", 10th,6, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
9801,44, Private," 721,161 ", Some-college,10, Separated, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
2978,61, Private," 716,416 ", Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, >50K
7158,18, Private," 716,066 ", 10th,6, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
30807,28, Private," 715,938 ", Bachelors,13, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
29078,33, Private," 709,798 ", Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
21522,37, Private," 709,445 ", HS-grad,9, Separated, Craft-repair, Other-relative, Black, Male,0,0,40, United-States, <=50K
29630,39, Private," 706,180 ", Bachelors,13, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
26791,27, Private," 706,026 ", 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
6259,27, Private," 704,108 ", Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
24354,27, Private," 704,108 ", Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
21962,31, Private," 703,107 ", HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
5554,18, Private," 703,067 ", 11th,7, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
12761,24, Private," 698,418 ", Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,0,0,25, United-States, <=50K
15716,38, Private," 698,363 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28346,46, Private," 695,411 ", HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,44, United-States, <=50K
12703,23, Private," 695,136 ", HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States, <=50K
22993,40, Private," 694,812 ", Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32206,19, Private," 693,066 ", 12th,8, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
12382,44, State-gov," 691,903 ", Masters,14, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,60, United-States, >50K
13231,20, Private," 691,830 ", HS-grad,9, Never-married, Sales, Own-child, Black, Female,0,0,35, United-States, <=50K
4574,21, Private," 688,355 ", HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
12388,34, Private," 684,015 ", 5th-6th,3, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, El-Salvador, <=50K
23935,38, Private," 682,947 ", Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K
828,39, Private," 680,390 ", HS-grad,9, Separated, Machine-op-inspct, Unmarried, White, Female,0,0,24, United-States, <=50K
14162,38, Private," 680,390 ", HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
2348,18, Private," 675,421 ", 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,594,0,40, United-States, <=50K
25549,51, Private," 673,764 ", Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
29893,51, Private," 673,764 ", Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,27828,0,40, United-States, >50K
1972,31, ?," 672,412 ", 11th,7, Separated, ?, Not-in-family, Black, Male,0,0,40, United-States, <=50K
8730,56, State-gov," 671,292 ", HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,38, United-States, >50K
31763,61, Private," 668,362 ", 1st-4th,2, Widowed, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
23904,35, Local-gov," 668,319 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1740,80, United-States, <=50K
3304,47, Private," 664,821 ", Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, El-Salvador, <=50K
8277,23, Private," 664,670 ", HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
15088,62, Private," 664,366 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
